original,generated,reference
Мау хай йдуть в жопу,Мау хай йдуть в жопу,Мау хай йдутьу куди подалі
"Seit wenigen Stunden zurück in Deutschland, was für eine lächerliche, manipulierte und verlogene Parteienlandschaft um Murksels Thron.","Seit wenigen Stunden zurück in Deutschland, was für eine naive, manipulierte und verlogene Parteienlandschaft um Merkels Anhänger.","Seit wenigen Stunden zurück in Deutschland, was für eine nicht ernstzunehmende, manipulierte und unehrliche Parteienlandschaft um Merkels Thron."
they deal with them and then they think everyone in society is a shit stain .,They deal with them and then they think everyone in society is a stain .,they deal with them and then they think everyone in society is a bad person.
አንተ የሸርሙጣ ልጅ ቁጭ ብለህ ሴት ጋ ትሳደባለህ አይደል ሴታሴት,አንተ የሸርሙጣ ልጅ ቁጭ ብለህ ሴት ጋ ትሳደባለህ አይደል ሴታሴት,አንተ ስራ ፈተህ ተገቢ ያልሆኑ ቃላቶችን ከእህቶች ጋር ትለዋወጣለህ !
Der DE Schweinejournalimus hat wieder Hochkonjunktur wie gehabt Hetze gegen Trump u dazu diskriminieren der größten DE Oppositionpartei AFD,Der DE Journalistimus hat wieder Hochkonjunktur wie gehabt Kritik an Trump u dazu diskriminieren der größten DE Oppositionpartei AFD,Der DE Jorunalismus hat wieder Hochkonjunktur wie gehabt Stimmung machen gegen Trump u dazu diskriminieren der größten DE Oppositionpartei AFD
"Підйом, курво, Arbeit macht frei",Arbeit macht frei,"Підйом, Arbeit macht frei"
Українська термінологія - це піздєц.,Українська термінологія - це погано.,Українська термінологія - це жах.
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva,Pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva
"Die Massen von dummen Kommentarem und deutschfeindlichen Äusserungen dieser Grünen Person sind keine Meinungen, sondern trauriges Gelaber!!","Die Massen von Kommentarem und deutschfeindlichen Äusserungen dieser Grünen Person sind keine Meinungen, sondern trauriges Gelaber!!","Die Massen von Kommentarem und deutschfeindlichen Äusserungen dieser Grünen Person sind keine Meinungen, sondern trauriges Gerede!!!!"
"Хоча насправді похуй, просто не було чим, а його щітка й справді чистить в важкодоступних місцях.","Хоча насправді погана, просто не було чим, а його щітка й справді чистить в важкодоступних місцях.","Хоча насправді байдуже, просто не було чим, а його щітка й справді чистить в важкодоступних місцях."
لا انا جد جايه ادعسك,لا انا جد جايه ادعسك,لا انا جد جايه عشان أعلمك
Вангую прапори новоросій чи іншого роду провокативні хуйні на трибунах,Вангую прапори новоросій чи іншого роду на трибунах,Вангую прапори новоросій чи іншого роду провокативні речі на трибунах
"Ти шо, коронне ""не трахай мізки"" до всього застосовують","Ти шо, коронне ""не мізки"" до всього застосовують","Ти шо, коронне ""не насилуй мізки"" до всього застосовують"
надоели эти пидарасы уже пора про них забыть,надоели эти уже пора про них забыть,надоели эти люди уже пора про них забыть
"Los gallegos viejos, en gran parte, son basura franquista.  Entre los jóvenes ya hay mucha más dignidad.","Los gallegos viejos, en gran parte, son franquista. Entre los jóvenes ya hay mucha más dignidad.",Los gallegos viejos en gran parte son franquistas entre jóvenes ya hay mucha más dignidad
لا بد أن يكون لك أعداء آخرون الآن أسدي لنفسك معروفا واغرب عن وجهي,لا بد أن يكون لك أعداء آخرون الآن أسدي لنفسك معروفا واغرب عن وجهي,يجب أن يكون لديك بعض الأعداء الآخرين، الآن تفعل لنفسك معروفا وتذهب.
"Estás enfermo y no quieres ver.

Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","Estás enfermo y no quieres ver. Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","Tienes un problema y no quieres ver. 
Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes."
看起来那就是一个垃圾勾八营销号。,看起来那就是一个垃圾勾八营销号。,看起来那就是一个失败的让人反感的营销号。
በለው ፓትርያርክ ማትያስ ኣረ ብልጽግና ስም ማጥፋት ለምን ኣቶ ኣትሉትም??,በለው ፓትርያርክ ማትያስ ኣረ ብልጽግና ስም ማጥፋት ለምን ኣቶ ኣትሉትም??,ፓትርያርክ ማትያስ ብልግናን ስም ማንሳትንም ለምን ተው ኣትሉትም??
ስዩም አለቆቹ የሚወዱትን ይወዳል፣ የሚጠሉትን ይጠላል። እሱ የሚናገረው በሙሉ አለቆቹ ሹክ ያሉትን ነው። ከመስመር ወጣ ካለ ደግሞ አምቡላንስ ልከው እንደሚሆን ያደርጋሉ።,ስዩም አለቆቹ የሚወዱትን ይወዳል፣ የሚጠሉትን ይጠላል። እሱ የሚናገረው በሙሉ አለቆቹ ሹክ ያሉትን ነው። ከመስመር ወጣ ካለ ደግሞ አምቡላንስ ልከው እንደሚሆን ያደርጋሉ።,ስዩም አለቆቹ የሚወዱትን ይወዳል፣ የሚጠሉትን ይጠላል። እሱ የሚናገረው በሙሉ አለቆቹ የነገሩትን ነው።
Le han dado por lo que habrá robado antes y por lo que robará cuando salga del hospital.,Le han dado por lo que habrá robado antes y por lo que robará cuando salga del hospital.,Recibió una lección por lo que robó y robará en un futuro
"То мене нахуй посилали, а не його до мене..","То мене насилали, а не його до мене..","То мене якнайдалі посилали, а не його до мене.."
अब पेपर दे भोसड़ी के,अब पेपर दे के,अब पेपर दो
"за ер? прошу вколоться:d много ли за пидарков проголосуют, хотя фанатов в любой секте хватает","много ли за проголосуют, хотя фанатов в любой секте хватает","За ер? Много ли людей проголосуют, хотя фанатов в любой секте хватает"
ከናንተ እንካን ጥሩ አንጠብቅም ግን ሰው ከሆንክ ትንሽ ሰብኣዊነት ካለህ ድምጽ እንካን ባትሆነን አፍህ,ከናንተ እንካን ጥሩ አንጠብቅም ግን ሰው ከሆንክ ትንሽ ሰብኣዊነት ካለህ ድምጽ እንካን ባትሆነን አፍህ,ካንተ ብዙ ባልጠብቅም ቢያንስ በሰብአዊነት ድምፅ እንኳን መሆን ባትችል ተቃውሞ አያስፈልግም
这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女....,"这种东西都能照做的不知道是没脊椎还是没脑子,不怕一万就怕万一,万一老婆是个仙女....",这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个自我感觉过于良好的女性....
"इस्लाम में जो-जो हराम है, अगर उसकी सूची बनाकर मुसलमानों पर टेस्ट किया जाए . तो अधिकतर मुस्लिम हरामी ही मिलेंगे।","इस्लाम में जो-जो बुरा है, अगर उसकी सूची बनाकर मुसलमानों पर टेस्ट किया जाए . तो अधिकतर मुस्लिम हरामी ही मिलेंगे।","इस्लाम में जो-जो हराम है, अगर उसकी सूची बनाकर मुसलमानों पर टेस्ट किया जाए . तो अधिकतर मुस्लिम हराम काम करने वाले ही मिलेंगे।"
